Date,TempF,Humidity,HrsDaylight,AvgSurfaceAlbedo,DailySumClearskyGHI,AvgPrecipitableWater,AvgAOD,MostFrequentCloudType
1/1/2006,37.7,75.2,9,0.11,2465,1.070833333,0.10225,4
1/2/2006,42.2,73.7,9.04,0.107916667,2419,1.65,0.09125,7
1/3/2006,37.9,85.2,9.08,0.1,2466,2.1375,0.053375,4
1/4/2006,34.3,70.4,9.12,0.1,2597,1.225,0.056833333,4
1/5/2006,42.5,76.5,9.16,0.1,2533,1.2625,0.12675,4
1/6/2006,38,61.6,9.2,0.1,2523,0.983333333,0.094166667,4
1/7/2006,31,49.8,9.24,0.1,2707,0.5125,0.044916667,4
1/8/2006,40.8,56,9.28,0.1,2641,0.85,0.094625,4
1/9/2006,50,60,9.32,0.1,2575,1.420833333,0.082583333,0
1/10/2006,44.6,55.6,9.36,0.1,2732,0.85,0.068208333,0
1/11/2006,45.5,86.2,9.4,0.1,2464,1.691666667,0.150625,7
1/12/2006,51.9,54.7,9.44,0.1,2730,1.304166667,0.05225,0
1/13/2006,45.9,89.4,9.48,0.1,2669,1.083333333,0.078291667,7
1/14/2006,51.6,90.3,9.52,0.1,2603,2.758333333,0.071875,6
1/15/2006,26,59.4,9.56,0.1,2983,0.816666667,0.027958333,4
1/16/2006,24.6,44.1,9.6,0.1,2948,0.45,0.027125,4
1/17/2006,43.7,78.7,9.64,0.1,2795,1.1375,0.076833333,7
1/18/2006,51,75.4,9.68,0.1,2673,2.2,0.114458333,7
1/19/2006,41.2,46.8,9.72,0.102083333,2950,0.795833333,0.039375,0
1/20/2006,50.7,49.7,9.76,0.11,2919,1.141666667,0.05625,7
1/21/2006,49,54.2,9.8,0.11,2881,1.366666667,0.049125,0
1/22/2006,38.4,42.3,9.84,0.107916667,3168,0.45,0.039,4
1/23/2006,39.4,84.9,9.88,0.1,2888,1.975,0.0765,7
1/24/2006,41.5,58.5,9.92,0.1,3217,0.570833333,0.057416667,0
1/25/2006,40,60.6,9.96,0.1,3128,0.870833333,0.091041667,0
1/26/2006,32,52.6,10,0.1,3222,0.616666667,0.066875,0
1/27/2006,34.1,40.8,10.04,0.1,3310,0.466666667,0.02975,0
1/28/2006,47.7,35,10.08,0.1,3210,1.029166667,0.053041667,0
1/29/2006,46.8,74.8,10.12,0.1,3167,1.616666667,0.070125,4
1/30/2006,47.9,81.8,10.16,0.102083333,3239,1.516666667,0.086375,0
1/31/2006,40.6,83.7,10.2,0.11,3135,1.591666667,0.153375,4
2/1/2006,39.7,54.3,10.24,0.11,3478,0.866666667,0.061875,4
2/2/2006,44.8,66.3,10.28,0.11,3352,1.316666667,0.097541667,7
2/3/2006,54.2,76,10.32,0.11,3366,1.891666667,0.078,7
2/4/2006,44.8,85,10.36,0.11,3406,1.65,0.063625,6
2/5/2006,47.9,66.4,10.4,0.11,3605,1.566666667,0.057875,4
2/6/2006,38,41,10.44,0.11,3729,0.616666667,0.0585,0
2/7/2006,37.7,44.4,10.48,0.112083333,3784,0.625,0.04625,0
2/8/2006,33,51.2,10.52,0.12,3814,0.529166667,0.064458333,0
2/9/2006,30.8,41,10.56,0.12,3947,0.479166667,0.043833333,0
2/10/2006,33.4,44.9,10.6,0.12,3633,0.541666667,0.187625,7
2/11/2006,34,71.8,10.64,0.12,3771,0.829166667,0.161666667,7
2/12/2006,26.2,80.9,10.68,0.12,3944,0.8875,0.073125,7
2/13/2006,29.7,55.3,10.72,0.12,4053,0.491666667,0.061625,0
2/14/2006,36.5,53,10.76,0.12,4010,0.816666667,0.087916667,0
2/15/2006,44.1,59,10.8,0.12,4151,0.920833333,0.051791667,0
2/16/2006,47,66.3,10.84,0.12,4089,0.9875,0.074,0
2/17/2006,47.6,55.9,10.88,0.12,4198,1.341666667,0.054375,0
2/18/2006,27.7,44.3,10.92,0.12,4315,0.558333333,0.05925,0
2/19/2006,23.4,36.2,10.96,0.12,4539,0.245833333,0.030291667,0
2/20/2006,30.8,32.9,11,0.12,4499,0.416666667,0.050291667,0
2/21/2006,37.3,37.9,11.04,0.12,4420,0.55,0.08825,0
2/22/2006,39,54.5,11.08,0.12,4342,0.670833333,0.116208333,0
2/23/2006,41.6,70,11.12,0.12,4240,0.9625,0.185416667,4
2/24/2006,35.6,40.6,11.16,0.12,4786,0.445833333,0.054708333,0
2/25/2006,37.5,39.7,11.2,0.117916667,4486,0.725,0.105208333,4
2/26/2006,24,44,11.24,0.11,4997,0.233333333,0.037041667,0
2/27/2006,25.7,39.5,11.28,0.112083333,5010,0.2375,0.056333333,0
2/28/2006,29.6,42.3,11.32,0.12,5014,0.341666667,0.073291667,0
3/1/2006,34.8,37,11.36,0.12,5022,0.4375,0.038125,0
3/2/2006,32,66.5,11.4,0.12,4428,1.220833333,0.178,7
3/3/2006,28.1,51.6,11.44,0.117916667,5168,0.520833333,0.034333333,0
3/4/2006,33.7,50,11.48,0.11,5152,0.608333333,0.035833333,0
3/5/2006,38.6,37.3,11.52,0.11,5215,0.575,0.030666667,0
3/6/2006,38,43.4,11.56,0.11,5305,0.441666667,0.048375,7
3/7/2006,38.1,42.4,11.6,0.112083333,5373,0.529166667,0.0405,0
3/8/2006,39.2,47,11.64,0.12,5317,0.654166667,0.061541667,0
3/9/2006,46.6,68.4,11.68,0.12,4883,1.783333333,0.188916667,7
3/10/2006,60.3,57.6,11.72,0.12,5150,1.883333333,0.102125,4
3/11/2006,55,43.5,11.76,0.12,5448,1.175,0.059083333,0
3/12/2006,51.9,77.4,11.8,0.12,4847,2.516666667,0.178125,7
3/13/2006,52.6,87.2,11.84,0.12,4984,2.758333333,0.170458333,7
3/14/2006,51.9,56,11.88,0.12,5628,2.029166667,0.075416667,0
3/15/2006,40,40.7,11.92,0.12,5764,0.641666667,0.064208333,4
3/16/2006,41.5,40.5,11.96,0.117916667,5833,0.595833333,0.061541667,0
3/17/2006,38.8,38.2,12,0.11,6068,0.454166667,0.050125,0
3/18/2006,36.1,37.4,12.04,0.11,6068,0.445833333,0.057041667,0
3/19/2006,36.5,46.4,12.08,0.11,5968,0.591666667,0.060125,4
3/20/2006,35.6,45.6,12.15,0.112083333,6177,0.525,0.044791667,0
3/21/2006,36,38.9,12.21,0.117916667,6193,0.491666667,0.041416667,4
3/22/2006,38.8,47.4,12.27,0.107916667,6188,0.704166667,0.0485,0
3/23/2006,44.3,44.2,12.33,0.102083333,6257,0.7,0.041541667,0
3/24/2006,44.8,57.8,12.39,0.11,6021,0.991666667,0.111333333,7
3/25/2006,42.2,63.5,12.45,0.11,6156,1.1,0.093708333,7
3/26/2006,45.2,55.9,12.51,0.11,6199,1.075,0.08075,7
3/27/2006,49.3,37.9,12.57,0.11,6498,0.645833333,0.038125,0
3/28/2006,48,44.2,12.63,0.11,6242,0.891666667,0.100791667,7
3/29/2006,51.2,45.2,12.69,0.11,6501,0.854166667,0.0705,0
3/30/2006,55.4,41.4,12.75,0.11,6447,0.879166667,0.09825,0
3/31/2006,59,42.8,12.81,0.11,6260,1.233333333,0.161541667,0
4/1/2006,61.9,58.3,12.87,0.11,6011,2.408333333,0.258083333,7
4/2/2006,57.9,36,12.93,0.11,6760,0.954166667,0.073458333,0
4/3/2006,52.1,59.2,12.99,0.11,6194,1.6625,0.187875,4
4/4/2006,49.6,62.2,13.05,0.112083333,6712,1.670833333,0.136083333,0
4/5/2006,41.9,60.1,13.11,0.12,6722,0.8875,0.161833333,7
4/6/2006,47.2,48.2,13.17,0.12,6821,0.95,0.095708333,0
4/7/2006,54.3,65.8,13.23,0.12,6177,2.029166667,0.235791667,7
4/8/2006,47.5,70.9,13.29,0.122083333,6444,2.3,0.233458333,7
4/9/2006,47.8,38.8,13.35,0.13,7166,0.65,0.067583333,0
4/10/2006,51.5,39.6,13.41,0.13,7070,0.7875,0.089583333,0
4/11/2006,55.2,47.5,13.47,0.13,6820,1.220833333,0.146916667,0
4/12/2006,55.5,60,13.53,0.127916667,6658,1.870833333,0.19925,7
4/13/2006,64.8,51,13.59,0.12,6968,1.941666667,0.133625,7
4/14/2006,59,68.4,13.65,0.12,6471,2.066666667,0.295208333,6
4/15/2006,61.3,70.3,13.71,0.12,6798,2.325,0.2105,0
4/16/2006,58.6,39.9,13.77,0.12,7104,0.945833333,0.216416667,0
4/17/2006,55.2,44.2,13.83,0.12,7131,0.979166667,0.153916667,0
4/18/2006,58.3,49,13.89,0.12,7308,1.5375,0.083125,0
4/19/2006,62.8,43,13.95,0.12,7398,1.329166667,0.0795,0
4/20/2006,68.4,27.7,14,0.12,7524,0.883333333,0.112458333,0
4/21/2006,54.2,57.1,14.02666,0.12,7316,1.070833333,0.179083333,7
4/22/2006,46.4,71.7,14.05332,0.12,6866,2.591666667,0.244625,7
4/23/2006,52.5,93.4,14.07998,0.12,7024,3.033333333,0.22725,7
4/24/2006,53.5,78.3,14.10664,0.12,6869,2.075,0.343583333,4
4/25/2006,60,50,14.1333,0.12,7303,1.841666667,0.192125,0
4/26/2006,50.5,45.4,14.15996,0.12,7967,0.829166667,0.086791667,0
4/27/2006,61.6,35.7,14.18662,0.12,7664,1.1125,0.134416667,0
4/28/2006,55.2,39.1,14.21328,0.12,7899,1.045833333,0.099583333,0
4/29/2006,53.5,40.6,14.23994,0.12,7973,0.708333333,0.088083333,0
4/30/2006,57.8,37.6,14.2666,0.12,8016,0.6875,0.085916667,0
5/1/2006,60.7,29,14.29326,0.12,7958,0.820833333,0.081375,0
5/2/2006,56.9,48.6,14.31992,0.12,7796,1.420833333,0.092041667,7
5/3/2006,58.9,68.4,14.34658,0.12,7539,2.054166667,0.159625,7
5/4/2006,66.2,58.9,14.37324,0.12,7793,2.370833333,0.119791667,0
5/5/2006,72.4,39.2,14.3999,0.12,7428,2.395833333,0.247708333,7
5/6/2006,65.8,38.5,14.42656,0.12,7546,2.054166667,0.200625,0
5/7/2006,56.4,43.2,14.45322,0.12,8200,0.854166667,0.091041667,0
5/8/2006,57.2,47.2,14.47988,0.12,7929,1.533333333,0.125166667,7
5/9/2006,59.3,41.6,14.50654,0.12,7903,1.9875,0.136875,7
5/10/2006,59.9,68.6,14.5332,0.12,7735,2.708333333,0.163458333,3
5/11/2006,59,81.4,14.55986,0.12,7769,2.633333333,0.178041667,3
5/12/2006,62.4,84.5,14.58652,0.12,7925,2.845833333,0.161791667,1
5/13/2006,58.3,83.7,14.61318,0.12,7922,1.875,0.217208333,0
5/14/2006,55.8,74.3,14.63984,0.12,7861,1.754166667,0.273458333,3
5/15/2006,55.9,85.3,14.6665,0.12,7877,2.208333333,0.194791667,4
5/16/2006,57.9,79.7,14.69316,0.12,7883,2.3375,0.205291667,6
5/17/2006,64.8,54.7,14.71982,0.12,7912,2.154166667,0.207375,0
5/18/2006,66.1,61,14.74648,0.12,8035,2.241666667,0.19725,0
5/19/2006,57.9,71.4,14.77314,0.12,7892,2.104166667,0.235625,6
5/20/2006,61.4,51,14.7998,0.12,8184,1.725,0.124958333,0
5/21/2006,61.6,43.7,14.8,0.12,8304,1.4625,0.094958333,0
5/22/2006,55.7,48.2,14.81,0.12,8510,1.291666667,0.077416667,0
5/23/2006,57.3,44.9,14.82,0.12,8537,1.2625,0.068041667,0
5/24/2006,65.3,39.6,14.83,0.12,8510,1.504166667,0.069666667,0
5/25/2006,69.7,43,14.84,0.12,8134,2.208333333,0.186083333,7
5/26/2006,65.1,82.3,14.85,0.12,7648,3.675,0.367541667,7
5/27/2006,70.1,75.3,14.86,0.12,7834,3.758333333,0.228416667,0
5/28/2006,72.6,61.2,14.87,0.12,8159,2.583333333,0.193416667,0
5/29/2006,76.1,63,14.88,0.12,7849,3.3,0.301291667,0
5/30/2006,74,67.3,14.89,0.122083333,7868,3.7625,0.274166667,0
5/31/2006,68.2,77,14.9,0.127916667,7742,3.883333333,0.307375,7
6/1/2006,73,83,14.91,0.12,7465,4.170833333,0.582791667,0
6/2/2006,72.7,82.2,14.92,0.12,7480,4.775,0.649666667,7
6/3/2006,63.3,91.1,14.93,0.12,7644,4.7,0.40175,7
6/4/2006,63.6,69.2,14.94,0.12,8393,2.454166667,0.144791667,3
6/5/2006,65.8,68.2,14.95,0.12,8286,2.6,0.159166667,3
6/6/2006,65.3,76.7,14.96,0.12,8155,2.7625,0.213541667,7
6/7/2006,61.7,83.7,14.97,0.117916667,8169,3.5875,0.184208333,6
6/8/2006,62.8,79.4,14.98,0.11,8299,3.120833333,0.130708333,4
6/9/2006,67.7,66.5,14.99,0.11,8344,3.0625,0.175625,7
6/10/2006,62.8,56.1,15,0.11,8640,2.316666667,0.070125,0
6/11/2006,63.2,50.8,15.01,0.11,8592,1.8375,0.074625,0
6/12/2006,67.4,58.5,15.02,0.11,8376,2.658333333,0.1175,7
6/13/2006,74.4,53.8,15.03,0.114166667,8479,2.879166667,0.109291667,0
6/14/2006,72,65,15.04,0.13,8135,3.020833333,0.289666667,7
6/15/2006,72.5,50.8,15.05,0.13,8490,2.808333333,0.125875,4
6/16/2006,77.5,36.7,15.06,0.13,8535,2.208333333,0.099458333,0
6/17/2006,80,38.7,15.07,0.13,7935,2.7625,0.277416667,3
6/18/2006,83.9,48.1,15.08,0.13,8045,3.475,0.284958333,0
6/19/2006,83.2,53.1,15.09,0.13,7822,3.529166667,0.451791667,0
6/20/2006,79.8,55.8,15.1,0.13,8245,3.483333333,0.2205,0
6/21/2006,76.7,48,15.12,0.13,8572,2.3125,0.1205,0
6/22/2006,81.2,58.6,15.1092,0.13,7947,3.766666667,0.306416667,7
6/23/2006,80.8,59.6,15.0984,0.127916667,7922,4.491666667,0.36225,4
6/24/2006,73.7,87,15.0876,0.12,7581,5.075,0.5155,7
6/25/2006,73.2,83.5,15.0768,0.12,7971,4.858333333,0.203916667,7
6/26/2006,74,82.9,15.066,0.12,8061,4.5375,0.140791667,7
6/27/2006,76.6,77.5,15.0552,0.12,8215,3.820833333,0.126833333,7
6/28/2006,77.1,77.1,15.0444,0.12,7969,4.583333333,0.216125,7
6/29/2006,76.8,70.9,15.0336,0.12,7782,3.645833333,0.46175,7
6/30/2006,74.8,52,15.0228,0.12,8157,2.641666667,0.276958333,0
7/1/2006,78.7,47.9,15.012,0.12,8087,2.566666667,0.326541667,0
7/2/2006,81.8,54.9,15.0012,0.12,7703,3.908333333,0.502375,7
